ID,Code,Headline,Source,Date,URL
TheEdge2019030100125038,5038,KSL Holdings FY18 net profit rises to RM224.09 mil,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497202/ksl-holdings-fy18-net-profit-rises-to-rm224-09-mil
TheEdge2019030106182771,2771,"KLCI seen trading sideways in line with global markets, hurdle at 1,710",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497220/klci-seen-trading-sideways-in-line-with-global-markets-hurdle-at-1-710
TheEdge2019030106184022,4022,"KLCI seen trading sideways in line with global markets, hurdle at 1,710",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497220/klci-seen-trading-sideways-in-line-with-global-markets-hurdle-at-1-710
TheEdge2019030106185054,5054,"KLCI seen trading sideways in line with global markets, hurdle at 1,710",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497220/klci-seen-trading-sideways-in-line-with-global-markets-hurdle-at-1-710
TheEdge2019030107057205,7205,"Inter-Pacific research downgrades Cocoaland, target price RM2.21",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497232/inter-pacific-research-downgrades-cocoaland-target-price-rm2-21
TheEdge2019030109141082,1082,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109142291,2291,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109143689,3689,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109145041,5041,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109146459,6459,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109147084,7084,"Poor start to March as KLCI falls 0.48%, slips below crucial 1,700-level",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497308/poor-start-to-march-as-klci-falls-0-48-slips-below-crucial-1-700-level
TheEdge2019030109245054,5054,TRC Synergy dips 3.64% after civil servant housing job axed,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497320/trc-synergy-dips-3-64-after-civil-servant-housing-job-axed
TheEdge2019030109491198,1198,MAA at 14-year high on privatisation offer,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497344/maa-at-14-year-high-on-privatisation-offer
TheEdge2019030109493778,3778,MAA at 14-year high on privatisation offer,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497344/maa-at-14-year-high-on-privatisation-offer
TheEdge2019030110300069,0069,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110300091,0091,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110301198,1198,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110302488,2488,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110305008,5008,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110305011,5011,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110305041,5041,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110306459,6459,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110307078,7078,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
TheEdge2019030110307251,7251,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497358/klci-pares-loss-but-stays-below-1-700-as-tenaga-cimb-drag
